name,dob,tel
Mugisha Kintu,1973-05-23,+256704647258
Irene Kintu,1999-05-18,+256742201179
Babirye Namukasa,1969-04-05,+256786025960
Patience Wanyama,1963-09-19,+256746256739
Francis Nankya,1990-02-04,+256728444612
Mary Opio,1977-09-04,+256706830977
Rebecca Kintu,1980-09-15,+256700963702
Winnie Bbosa,1995-09-11,+256787665812
Joyce Atim,1980-02-13,+256391609837
Naomi Nalwoga,1974-07-11,+256721191814
Susan Ocen,1966-08-22,+256391504225
Sarah Nabunya,1963-09-01,+256785008636
Ruth Ssempijja,1979-07-28,+256729765015
Mary Mukasa,1984-10-01,+256710489418
Simon Kato,1973-07-13,+256716494449
Okello Wanyama,1970-08-19,+256391361636
Amina Nabirye,1965-01-04,+256778167952
Faith Nalubega,1997-06-21,+256766809247
Ssekandi Mugisha,1994-05-17,+256777725984
Mugisha Ochieng,1967-07-19,+256746610243
Okello Opio,1992-06-24,+256398592367
Paul Okumu,1985-09-28,+256761014091
Lydia Mugisha,1999-07-24,+256755041605
Julie Ocen,1987-06-20,+256776568552
Patience Ssekandi,1997-05-24,+256393163587
Paul Kirabo,1993-10-25,+256760143212
Julie Namukasa,1975-02-26,+256727610402
Timothy Tumusiime,1967-12-08,+256772259717
Mary Akello,1996-11-12,+256752463869
Nabukeera Asiimwe,1988-10-04,+256312305951
Grace Ocen,2006-03-05,+256752538486
Emmanuel Okot,1968-10-19,+256790659190
James Adoch,1981-07-16,+256396837787
Michael Nabunya,1994-02-11,+256751419946
Julie Muwonge,1990-05-25,+256753701106
Richard Kigozi,2001-05-08,+256742247776
Michael Nakato,1992-09-18,+256726134308
Lilian Mukasa,1983-05-23,+256793956910
Okello Nalubowa,1981-08-11,+256740582747
Patience Nalubega,2004-10-23,+256711320124
Ronald Odongo,1993-03-05,+256770469584
Nabukeera Nalubowa,1984-02-04,+256786549897
Apio Lubega,1996-01-04,+256785550325
Richard Adoch,1990-02-05,+256394500507
Ssekandi Mukasa,1999-03-03,+256746048062
Andrew Odongo,1995-04-05,+256769467679
Tasha Nabirye,1994-04-19,+256779976525
Kevin Odongo,1971-05-07,+256717229436
Rachel Kigozi,1993-03-10,+256712970963
Oliver Okello,1989-10-15,+256708983971
Charles Achieng,1990-08-27,+256395139691
Isaac Ochieng,1988-12-26,+256726695802
Sarah Opio,1987-02-06,+256769658921
Hassan Mukasa,1961-03-19,+256783048820
Irene Mukasa,1993-01-03,+256784633596
Moses Nabukeera,1994-07-10,+256391990842
David Nankunda,1983-10-03,+256714796861
Hellen Wanyama,1982-03-26,+256319134552
Akello Tumusiime,1987-01-02,+256726970196
Kevin Kintu,1965-01-03,+256765183258
Susan Ssekandi,2001-01-29,+256789505488
Ssekandi Ocen,1961-08-15,+256741749021
Lydia Ocen,1970-12-11,+256708961682
Akello Bbosa,1974-12-25,+256788905853
Francis Nalubega,2000-01-26,+256722017414
Moses Otim,1974-01-12,+256719344597
Akello Nankunda,1985-01-23,+256746085903
Kato Nabirye,2001-04-29,+256727263621
Babirye Ocen,2004-09-06,+256754480511
Betty Wanyama,1974-09-04,+256701886239
Oliver Ssempijja,1996-11-12,+256310424716
Lilian Auma,2001-07-09,+256762476114
George Kizza,1995-11-30,+256782215546
Susan Wanyama,1977-06-29,+256315434371
Hassan Odongo,1965-07-22,+256780057131
Mugisha Adoch,1992-01-14,+256310782511
Mugisha Atim,1965-08-22,+256727370707
Peter Kirabo,2006-07-29,+256706165419
Caroline Nalwoga,1973-08-20,+256310765549
Richard Namukasa,1965-11-23,+256782989387
Peter Lubega,1977-06-25,+256753125739
Brian Nabunya,1987-01-06,+256717137407
Oliver Tumusiime,1979-07-10,+256749624489
Okello Adoch,1967-10-16,+256778876600
Nabukeera Mugisha,1977-10-21,+256782759489
Sarah Walusimbi,1991-01-11,+256713323828
Diana Opio,1975-10-16,+256762586622
George Adoch,2003-06-24,+256703128733
Irene Nalubega,1991-08-08,+256745770848
Nabukeera Mukasa,1973-04-23,+256313577047
Kenneth Nalubowa,1999-09-19,+256722529606
Namukasa Ssempijja,1975-08-21,+256743189417
Ronald Nalukenge,1979-12-03,+256704820587
Irene Ssekandi,1997-12-20,+256763783293
Charles Bbosa,1963-02-12,+256771461423
Francis Nakato,2001-03-10,+256786662165
Joseph Kyeyune,2004-08-30,+256708580718
Okello Kato,1977-12-07,+256718483674
Grace Okello,2004-01-31,+256770647170
Simon Byaruhanga,1991-10-12,+256712616757
Lilian Muwonge,1976-05-28,+256319288236
Michael Adoch,1999-01-01,+256718271085
Wasswa Nambi,1996-02-11,+256758961254
Peter Auma,1983-07-25,+256783360545
Kevin Akello,1973-09-14,+256722435189
Nabukeera Kintu,2005-08-09,+256722707604
Samuel Nabunya,1986-03-14,+256701780575
Rebecca Muwonge,1973-11-03,+256752583165
Joseph Bbosa,1996-05-02,+256313089229
Joseph Walusimbi,1990-04-13,+256706325462
Lydia Nakato,1994-12-14,+256746234256
Wasswa Mukasa,1965-12-24,+256748032737
Emmanuel Nakato,1984-05-12,+256311925023
Moses Byaruhanga,1981-03-14,+256778250637
Michael Otim,1980-07-21,+256708146459
Tasha Tumusiime,1989-01-23,+256795115213
Kato Nankunda,1966-06-08,+256720227365
Joseph Opio,1965-02-21,+256746465381
Michael Opio,1980-07-25,+256794812104
Michael Nalubega,1994-08-22,+256397944457
Richard Odongo,2002-09-19,+256715265209
Peter Nambi,1966-07-10,+256706065502
Ronald Achieng,1998-05-29,+256721128985
Esther Nalugo,1990-09-13,+256751208309
Moses Nalwoga,1968-03-11,+256767185097
Hellen Akello,1988-10-19,+256396307818
Betty Bbosa,1976-08-01,+256789179179
Okello Okello,1972-04-19,+256708005422
Joan Kizza,1974-03-15,+256704255053
Esther Walusimbi,2004-07-05,+256310250130
Richard Nankunda,1968-01-21,+256712280950
Esther Wanyama,1981-11-09,+256725158675
Winnie Atim,2000-09-20,+256776770171
George Ssempijja,2002-07-29,+256770609611
Joan Kizza,2004-01-04,+256741244757
Francis Nabunya,1976-08-18,+256783880976
Lydia Kyeyune,1962-07-16,+256727345889
Oliver Nalugo,2002-08-17,+256785689470
Susan Bbosa,1981-04-13,+256319138492
Nalubega Adoch,1987-09-13,+256313489742
Isaac Achieng,1994-04-16,+256741934213
Julie Nalwoga,2005-12-23,+256765180245
Kenneth Asiimwe,1976-04-19,+256319700895
James Mugisha,1974-03-23,+256742091937
Esther Bbosa,1962-02-09,+256719833017
Okello Kyeyune,1984-06-05,+256768158591
Kenneth Lubega,1985-06-27,+256759446249
Patience Nakato,1960-02-09,+256780115555
Ssekandi Muwonge,2001-08-26,+256727060941
Paul Atim,1999-01-18,+256775136686
Paul Nalugo,2000-03-05,+256786726215
Mugisha Namutebi,1967-12-27,+256397552077
Sarah Bbosa,1998-04-10,+256773377359
Babirye Asiimwe,1962-12-18,+256704310596
Mark Bbosa,1988-03-27,+256706823395
Julie Mugisha,1994-08-22,+256747889649
Timothy Walusimbi,1976-09-23,+256759479903
Francis Tumusiime,1992-02-16,+256787405118
Oliver Kyeyune,1979-12-25,+256729551432
David Nalubowa,1993-04-12,+256763454238
Richard Okello,1976-01-30,+256397817371
Hassan Kato,1974-06-14,+256765868075
Naomi Akello,1998-04-08,+256786937806
Francis Otim,1986-01-06,+256753938799
Nakato Nalugo,1990-02-02,+256799388380
Rebecca Kigozi,1997-02-19,+256396601346
Mark Namutebi,1989-08-22,+256317291789
Ruth Ssekandi,1987-07-30,+256754901629
Apio Namutebi,1970-11-19,+256751224634
Mugisha Nabunya,1981-12-10,+256779552703
Nakato Kintu,1983-03-10,+256394067771
Victoria Kigozi,1980-04-24,+256759702588
Kato Nankya,1983-09-01,+256394523795
Samuel Ocen,1975-05-16,+256708821871
David Okumu,1989-06-11,+256723766967
Irene Nabunya,2002-10-18,+256797048582
Michael Atim,2006-11-12,+256749657292
Grace Mukasa,1974-02-23,+256394523283
Namukasa Nalugo,1999-12-21,+256710133816
Oliver Nabukeera,1970-05-01,+256721026831
Andrew Otim,1987-01-13,+256780727321
Julie Kigozi,1997-01-12,+256795834237
Andrew Okumu,1971-11-01,+256765648521
Mark Okello,1963-11-07,+256720625661
George Kizza,1987-04-23,+256754666375
James Walusimbi,1980-01-17,+256771075223
Akello Nalwoga,1972-09-08,+256390916164
Irene Tumusiime,1978-04-21,+256761789056
Babirye Opio,1991-12-17,+256785592155
Simon Wanyama,1989-09-03,+256799980859
Kenneth Ocen,2002-04-15,+256395660327
Nalubega Kizza,1967-01-28,+256709317683
Nalubega Ssebunya,1983-06-04,+256393664158
Paul Wanyama,1983-04-09,+256769270258
Sarah Ssekandi,1967-08-05,+256766652984
Mugisha Atim,1993-04-13,+256713738337
Nancy Nabukeera,1977-02-02,+256703434355
Mugisha Nankunda,1972-03-05,+256772643608
Julie Namutebi,2001-01-16,+256704171839
Mary Nankya,1978-08-26,+256753072102
Brian Namutebi,1980-10-23,+256311808272
Patience Okumu,1997-04-17,+256317562535
Apio Atim,1962-07-07,+256796647888
Apio Kirabo,1988-02-25,+256709263857
Wasswa Odongo,1994-03-21,+256729547592
James Kirabo,1968-01-17,+256390840925
Victoria Kigozi,1965-10-11,+256318175462
Julie Mugisha,1987-02-07,+256784420728
David Ochieng,1980-06-27,+256745344163
Nalubega Nakato,1974-08-28,+256796150740
Joyce Odongo,1997-11-14,+256729379882
Joseph Auma,1990-03-19,+256775676410
Julie Namukasa,2006-09-05,+256723338168
Amina Namukasa,1961-06-16,+256723922062
Simon Nalugo,1969-09-02,+256725539653
Kato Okello,1980-08-10,+256743429450
Julie Nambi,1996-08-17,+256703681920
Esther Nalubowa,1971-01-08,+256787398302
Apio Lubega,1992-10-05,+256317176895
Babirye Kizza,1972-09-26,+256707340696
Samuel Otim,1982-05-08,+256785827959
Moses Kirabo,1993-03-18,+256702911866
Francis Nabukeera,1980-09-15,+256740940363
Tasha Nambi,2003-09-30,+256399330289
Brian Akello,1984-04-19,+256723942441
Irene Atim,1986-07-22,+256720782937
Nalubega Okumu,1961-06-20,+256781142551
Patience Kato,1974-08-29,+256717620528
Nancy Nakato,1993-06-28,+256312221349
Akello Nankya,1983-03-26,+256707371012
Winnie Byaruhanga,2002-09-23,+256319168153
Peter Nambi,1997-02-18,+256318307947
Mugisha Nambi,1964-06-27,+256713068162
Kenneth Atim,1980-05-26,+256776035783
James Ocen,2002-02-02,+256797393823
Rachel Nabirye,1965-10-01,+256312488697
Peter Nabunya,1963-08-07,+256722609726
Sarah Opio,1985-04-11,+256395758647
Richard Ochieng,1982-03-12,+256758508283
Kenneth Wanyama,2000-06-29,+256784179267
Apio Nabukeera,1968-12-11,+256391280254
Francis Nakato,1970-09-11,+256721418284
Ssekandi Nabirye,1963-10-07,+256797682112
Oliver Muwonge,1997-04-25,+256745815916
Michael Ssebunya,2000-10-07,+256390838804
Nancy Nalubowa,1963-03-27,+256708132441
Isaac Ochieng,1991-08-17,+256313783854
Joyce Walusimbi,1982-08-04,+256719860925
Isaac Otim,1969-10-24,+256762989746
Joseph Nabukeera,1972-09-30,+256781711673
Ruth Nambi,1982-05-29,+256786506379
Winnie Nabukeera,1974-09-03,+256749354242
Babirye Kigozi,1973-06-04,+256706051819
Sarah Nabukeera,1993-10-23,+256721895605
Naomi Nambi,1994-04-25,+256315377143
Ruth Okello,1977-07-16,+256743276568
Nancy Namutebi,1999-09-23,+256744863660
Charles Ssempijja,2004-10-10,+256705112575
Mugisha Asiimwe,1961-01-19,+256799732640
Brian Kato,1960-12-04,+256757795112
Tasha Nabirye,1991-05-05,+256766333787
Julie Ocen,2000-03-17,+256715254989
Joyce Nalubowa,1976-04-18,+256784318097
Kenneth Nankunda,1978-10-08,+256777166197
Susan Ssekandi,1984-01-17,+256725310532
Nabukeera Okot,2002-07-16,+256727589182
Joan Bbosa,1973-10-12,+256762860454
Francis Opio,1991-05-03,+256707018930
James Nabunya,1972-01-03,+256791404503
George Kato,1973-07-15,+256706188870
Hassan Ssebunya,1988-12-09,+256394795558
Caroline Ochieng,1988-07-03,+256773663578
Simon Ssekandi,1999-02-08,+256769757052
Michael Ochieng,1996-08-28,+256747772420
Michael Nabukeera,1963-11-01,+256724977111
Esther Asiimwe,1983-04-03,+256776324728
Brian Kirabo,1990-06-21,+256398629731
Kevin Byaruhanga,1980-01-04,+256713263701
Samuel Mugisha,1963-11-29,+256319031339
Emmanuel Ssekandi,1974-02-01,+256759628387
Joseph Ochieng,1968-06-19,+256711404386
Ronald Kigozi,2005-11-16,+256721279588
Patience Nalubega,1973-10-13,+256311889999
Susan Atim,2004-10-23,+256779117408
Namukasa Okello,1969-04-30,+256774998842
Diana Otim,1983-07-08,+256391841052
David Kyeyune,1987-10-01,+256799013286
Nakato Ocen,1960-02-01,+256752240852
Joseph Nalugo,2005-01-29,+256706514041
Kenneth Ssempijja,2003-02-07,+256787419625
Diana Otim,1994-10-13,+256745262649
Nancy Opio,1987-11-19,+256316739854
Timothy Namukasa,1979-07-13,+256719995753
Hassan Walusimbi,1972-08-22,+256753024807
Joseph Ssebunya,1977-05-05,+256772429853
Paul Nalubowa,1965-09-26,+256720287020
Joan Walusimbi,1982-09-10,+256704770133
Apio Tumusiime,1985-03-31,+256793639953
Nabukeera Nalugo,1970-01-15,+256788574497
Wasswa Walusimbi,2000-01-22,+256717903065
Hellen Walusimbi,1984-11-29,+256726815765
Grace Kirabo,1974-06-07,+256398839008
Hassan Muwonge,1961-10-14,+256793341392
Kato Kizza,1997-11-18,+256703679917
Ruth Nalubowa,1975-01-30,+256770351260
Amina Bbosa,1977-08-24,+256701046696
Rachel Wanyama,1995-07-13,+256729046968
Amina Otim,1964-02-29,+256741616672
Moses Mukasa,1981-01-28,+256763010846
Mugisha Bbosa,1974-07-09,+256790032061
Michael Nalugo,1965-08-08,+256772867496
Simon Atim,1998-10-10,+256707568233
Samuel Kizza,1981-11-23,+256727673707
Babirye Muwonge,1978-07-21,+256742974774
Naomi Akello,1979-03-30,+256796465343
Namukasa Achieng,2005-05-13,+256786836867
Kato Adoch,1996-02-09,+256761913352
Winnie Byaruhanga,1982-03-26,+256726671449
Paul Byaruhanga,1960-01-27,+256779263539
James Nankunda,2005-05-19,+256713185522
Namukasa Ssekandi,1973-09-01,+256723374318
Babirye Nabirye,1980-01-29,+256719069163
Winnie Nabunya,1965-09-05,+256763134570
Peter Kintu,1961-10-10,+256798000563
Betty Kyeyune,1968-07-09,+256778091290
Timothy Adoch,1993-03-19,+256310728949
Amina Adoch,2006-11-21,+256392802602
Mark Ssebunya,1971-06-07,+256714469467
Ssekandi Nankya,1970-06-23,+256787459060
Oliver Tumusiime,1991-08-11,+256788441757
Hellen Atim,1982-02-26,+256397029640
Rebecca Nankunda,2004-08-18,+256795014853
Patience Ochieng,1995-01-22,+256720279110
Oliver Opio,1994-06-29,+256776184743
George Byaruhanga,1972-05-30,+256725937488
Kevin Namutebi,2005-07-03,+256767519839
Namukasa Kato,1990-10-23,+256399487589
Isaac Odongo,1999-01-15,+256763749971
Samuel Auma,1986-09-21,+256310151539
Wasswa Nabunya,1962-01-06,+256729719570
Kenneth Nalukenge,1972-10-20,+256784498258
Timothy Okumu,1987-04-27,+256396912309
George Walusimbi,1995-07-23,+256717346285
Faith Okello,2001-01-09,+256780362281
Mary Muwonge,1991-07-29,+256758355565
Nancy Opio,1984-09-28,+256319579430
Julie Nabunya,2005-03-22,+256718540591
Susan Lubega,1981-10-04,+256751888184
Diana Adoch,1990-10-21,+256757689594
Richard Okumu,1969-08-01,+256746688539
Tasha Okumu,1962-07-05,+256774915175
Peter Okello,1974-12-14,+256754865657
Okello Opio,1960-11-20,+256318636401
Hassan Mugisha,1974-09-18,+256762867248
Ssekandi Lubega,1963-07-04,+256772341109
Nancy Muwonge,1965-06-28,+256776714489
Joseph Odongo,1982-09-01,+256709132915
Grace Ssekandi,1960-01-18,+256768725552
George Muwonge,1977-01-15,+256799053387
Rachel Nalukenge,1987-05-17,+256310690365
Faith Mukasa,2002-07-02,+256319074076
Faith Bbosa,1997-04-27,+256751778155
James Auma,1993-03-30,+256740244425
Amina Akello,1964-02-13,+256700792611
Richard Kyeyune,1996-03-07,+256315786686
Kato Nabunya,1991-12-05,+256719935028
Brian Bbosa,1994-10-03,+256313410904
Faith Nambi,1977-03-09,+256751628923
Michael Kigozi,1998-10-03,+256789082552
David Nabirye,2003-01-18,+256789554326
Diana Nalukenge,1974-07-14,+256701984998
Brian Tumusiime,1978-04-22,+256770585851
Kato Nalubowa,1971-01-09,+256776247184
Moses Kigozi,1987-03-09,+256703874298
Isaac Nabunya,1963-11-18,+256752206651
Moses Nankunda,1990-10-07,+256778119299
Namukasa Opio,1993-07-28,+256779372190
Nalubega Mugisha,1993-11-23,+256725047987
Hassan Otim,1990-11-17,+256722114701
Wasswa Nalukenge,1972-04-13,+256397318019
Tasha Nabukeera,1976-07-12,+256767138205
Isaac Okello,1989-10-06,+256722095208
Mugisha Adoch,1986-06-16,+256743614732
Mary Okot,1987-07-27,+256780493242
Paul Atim,1985-11-20,+256786522941
Ronald Nabunya,1979-12-28,+256315464008
Peter Kato,1968-08-24,+256397332874
Lilian Otim,1960-07-19,+256748965367
Irene Kigozi,1989-11-16,+256781372974
Grace Kato,1965-01-20,+256763660140
Simon Namukasa,1976-07-31,+256704179822
Mugisha Kintu,2002-05-16,+256711140673
Kenneth Lubega,2004-05-17,+256742402268
Tasha Odongo,1982-02-07,+256727140361
Faith Otim,1988-10-26,+256395813390
Joan Nabukeera,1987-05-22,+256795447964
Irene Kintu,1988-01-18,+256725809536
Hassan Nabirye,1989-05-25,+256716812895
Joyce Achieng,2000-03-31,+256786178098
Rachel Nakato,1964-03-25,+256710918370
Isaac Achieng,1983-03-05,+256765176003
Paul Odongo,2002-04-23,+256787618668
Kenneth Akello,1991-12-29,+256746142499
Victoria Ssempijja,1986-07-15,+256724992280
Hassan Bbosa,1986-12-09,+256717738391
Julie Nambi,1985-12-17,+256397708498
Caroline Asiimwe,1980-10-03,+256393408703
Emmanuel Nalwoga,1979-12-09,+256788565525
Diana Akello,1997-10-17,+256742093993
Oliver Wanyama,1981-07-01,+256711151716
Nabukeera Nabunya,1976-05-06,+256318743708
Charles Nalukenge,2005-05-25,+256770628047
Okello Muwonge,1966-02-16,+256792937398
Andrew Atim,2002-08-19,+256762920716
Nancy Muwonge,1999-01-03,+256740161777
Naomi Ssebunya,1988-02-14,+256725301091
Victoria Nalubowa,1987-06-06,+256722050631
Nakato Nankunda,1979-01-30,+256775481363
Andrew Nabirye,1964-06-26,+256763798801
George Byaruhanga,1991-12-17,+256718587989
Julie Kigozi,1985-01-18,+256778025652
Francis Nalukenge,1999-09-19,+256778330961
Hellen Opio,1965-11-09,+256772727728
Kevin Opio,1972-04-01,+256753766214
Mary Kyeyune,1998-07-30,+256399656827
David Walusimbi,1962-08-08,+256755728665
David Atim,1990-07-12,+256701881825
George Nalwoga,1980-12-27,+256783823108
Joan Byaruhanga,1967-08-16,+256315710639
Susan Nankunda,2006-11-02,+256799973232
Joan Kirabo,1986-06-13,+256754823279
Ruth Nabirye,2006-05-10,+256774646204
Hellen Nalubega,1999-04-19,+256757680964
Nabukeera Nalubega,2003-12-26,+256729412689
Rebecca Ssempijja,1971-05-05,+256769580036
Nakato Okumu,1964-08-09,+256791864986
Esther Auma,2001-07-07,+256722406846
Akello Namukasa,1986-11-05,+256791241156
Julie Adoch,2000-07-15,+256799067211
Amina Asiimwe,1986-11-05,+256717753122
Okello Byaruhanga,1983-11-08,+256755515198
Betty Kato,2006-12-05,+256747137934
Grace Achieng,1976-05-07,+256778780692
Kevin Ssempijja,2005-02-08,+256740498030
Babirye Atim,1970-03-27,+256767288314
Mark Walusimbi,2004-02-10,+256719699281
Moses Asiimwe,1961-01-07,+256791338593
Kenneth Kato,1969-06-14,+256709610973
George Nakato,1993-03-25,+256787851910
Faith Kizza,1997-12-11,+256762479789
Lilian Nalubega,1968-01-09,+256393485061
Ruth Nabirye,1961-11-08,+256315252627
Tasha Nankunda,1988-07-25,+256780199459
Naomi Opio,1961-10-16,+256742122930
George Mukasa,1967-02-28,+256712044480
Ssekandi Atim,1971-04-10,+256704171147
Paul Namukasa,1988-04-09,+256397957610
Mark Kizza,1963-10-16,+256762034448
Oliver Ssempijja,1989-06-07,+256390991043
Babirye Nabirye,1971-01-14,+256791695578
Peter Nakato,1972-03-02,+256704754781
Patience Lubega,1978-07-14,+256753559746
Namukasa Asiimwe,2004-07-07,+256771169016
Samuel Opio,1972-07-18,+256746360488
Kevin Nalubowa,1991-04-13,+256781323150
George Mukasa,1978-10-01,+256796726711
Okello Walusimbi,1965-05-31,+256764059993
Emmanuel Otim,1998-08-05,+256705601298
Kenneth Kigozi,2000-05-27,+256716152507
Francis Kirabo,1989-12-28,+256314132400
Mark Okumu,2003-09-21,+256776301078
Rebecca Bbosa,1970-05-18,+256393119511
Nancy Mukasa,1995-04-01,+256716372504
Michael Namukasa,2005-07-31,+256310714496
Betty Nabukeera,2000-12-28,+256747911074
Emmanuel Nabunya,1997-11-04,+256702657644
Susan Okello,1990-10-13,+256316345316
Joseph Ssempijja,1967-05-17,+256744949031
Mary Ssebunya,1996-12-24,+256774276301
Namukasa Byaruhanga,2001-06-07,+256710586563
Rachel Atim,1986-11-17,+256763434928
Caroline Nalubega,1971-03-01,+256774456045
Michael Muwonge,1960-02-10,+256703169373
Kevin Okello,1983-09-09,+256728227797
Susan Akello,1997-11-17,+256728163900
Wasswa Byaruhanga,1983-08-15,+256728541450
Naomi Odongo,2000-08-31,+256314348034
Samuel Okumu,1980-08-16,+256718872941
Apio Akello,1961-12-09,+256395318184
George Mugisha,1997-07-14,+256396908210
Mary Nalubowa,1960-04-27,+256786746654
Joseph Nabirye,1984-12-16,+256392914209
Winnie Odongo,1988-09-12,+256398542077
Babirye Kintu,1981-04-10,+256761877132
Ruth Lubega,1972-03-07,+256769020061
Winnie Odongo,1977-08-19,+256782068393
Okello Muwonge,1970-10-01,+256707127267
Nakato Odongo,1963-02-24,+256716438213
Nalubega Akello,2005-03-16,+256745118172
Charles Okot,1978-06-10,+256791090615
Victoria Kirabo,1992-03-21,+256797883501
Richard Ssekandi,1979-03-29,+256793732002
Samuel Nalukenge,2000-04-29,+256774764136
Grace Ssekandi,1960-10-03,+256704212237
Joyce Tumusiime,1991-04-27,+256390208983
Akello Adoch,1997-08-08,+256748600857
Emmanuel Namukasa,1995-07-08,+256703125422
Mary Kato,1963-07-18,+256725849893
Lydia Kato,1980-11-14,+256751137832
Richard Kirabo,1991-12-12,+256710584689
Irene Okello,1984-02-03,+256787748142
Brian Nakato,2004-05-20,+256751112073
Grace Nalugo,1979-04-19,+256394565271
Ronald Mukasa,1966-10-02,+256724541971
Patience Walusimbi,1987-10-09,+256708098717
James Odongo,2001-10-09,+256712423349
Richard Muwonge,2002-08-01,+256709854629
Mary Nalugo,1996-07-02,+256726539332
Joseph Nalubega,1967-01-04,+256743075804
Apio Ochieng,1976-08-23,+256785008792
Mary Nalubowa,1979-03-13,+256750234692
Grace Byaruhanga,1964-08-18,+256727033277
Paul Kyeyune,1998-09-21,+256703228253
Kevin Nakato,2002-08-09,+256716400214
Emmanuel Opio,2000-04-01,+256702504994
David Ochieng,1963-02-25,+256312849362
Rachel Mukasa,1995-01-26,+256709975008
Esther Nalugo,1992-05-01,+256772274016
Ssekandi Atim,1962-10-18,+256746866413
Winnie Nalukenge,1988-01-30,+256705686874
Grace Okot,1981-11-01,+256701005500
Ssekandi Nalugo,1961-02-07,+256725595844
Kevin Walusimbi,2001-05-26,+256707740921
Samuel Mugisha,2000-07-02,+256713179392
Francis Byaruhanga,1978-04-27,+256722688510
George Mugisha,2005-09-10,+256796386662
Lydia Kyeyune,2004-06-18,+256781267862
Hassan Nalwoga,1982-10-11,+256723114486
Ruth Nankya,1970-01-13,+256764686341
George Kato,1966-02-19,+256781861588
Winnie Nambi,1987-06-27,+256780105506
David Ochieng,1980-03-27,+256746829372
Babirye Namukasa,1976-06-23,+256754918001
Francis Kirabo,1995-08-24,+256762419688
Rachel Nabukeera,1979-04-05,+256702417105
Samuel Achieng,1972-09-24,+256394527803
Hellen Odongo,1987-05-16,+256310285508
Kato Nabukeera,1993-09-19,+256787960123
Kevin Ocen,1976-05-20,+256390379231
Peter Byaruhanga,1980-02-26,+256775924408
Susan Achieng,2001-10-09,+256727890740
Richard Muwonge,1962-02-28,+256395034975
Moses Bbosa,1992-03-19,+256312247082
Rebecca Tumusiime,1994-04-18,+256399060533
Grace Byaruhanga,1969-11-27,+256702204748
Hellen Achieng,1975-04-26,+256769009768
Kato Opio,1985-08-13,+256779067961
Kato Nankya,1982-11-26,+256398990249
Timothy Nabirye,1997-10-18,+256789328175
Winnie Kyeyune,1965-04-10,+256723588544
Diana Odongo,1987-12-27,+256708391961
Brian Nabirye,1980-09-12,+256784342243
Francis Nalugo,1969-10-29,+256789353134
Betty Kigozi,1971-09-20,+256390545746
Paul Mugisha,1964-07-07,+256717334717
Ruth Ssempijja,1978-02-01,+256779584498
Nakato Wanyama,1989-04-01,+256772145093
Emmanuel Odongo,2005-09-28,+256744674174
Victoria Mugisha,2005-03-25,+256774536878
Lilian Nalugo,1996-10-20,+256721967436
Timothy Nabukeera,1973-04-12,+256764602343
Esther Kato,1977-11-17,+256702821467
Wasswa Okello,1992-03-25,+256782489477
Kato Akello,1979-07-17,+256760024999
Brian Nalwoga,2006-07-24,+256701022730
Apio Kigozi,1996-03-07,+256774171936
Hellen Tumusiime,1960-06-07,+256784014329
Diana Nalugo,1968-01-27,+256708659693
Hassan Opio,1960-03-27,+256714229914
Ssekandi Achieng,1994-06-29,+256709724830
Akello Mukasa,1972-06-16,+256392554635
Julie Lubega,2001-04-02,+256318295865
Sarah Okello,1990-03-21,+256390750435
Nakato Achieng,1998-02-24,+256759115508
Sarah Mukasa,1963-08-24,+256784328743
Nabukeera Nabunya,2006-03-17,+256700386843
Mark Kizza,1970-08-26,+256753676191
Nalubega Auma,1967-05-26,+256714098984
Kato Achieng,1988-07-23,+256718781050
Lydia Nalubega,1983-04-01,+256719316320
James Nalugo,1987-09-22,+256768409554
Julie Adoch,1983-04-22,+256720304860
Esther Nalubega,1978-04-02,+256310201969
Moses Nankya,1996-11-18,+256764012665
Peter Kyeyune,1982-06-18,+256707490652
Kato Kintu,1984-07-09,+256759764417
Victoria Ochieng,1964-10-24,+256777246791
Faith Namukasa,1983-12-14,+256710982476
Okello Namukasa,1968-03-20,+256310268971
Nabukeera Namukasa,1979-12-17,+256792553618
Isaac Kigozi,1960-02-06,+256797495025
James Mugisha,1991-02-06,+256726561267
Betty Nambi,1989-02-18,+256791174871
Lilian Bbosa,1977-04-13,+256727844505
Joan Ssekandi,1990-11-25,+256775227328
Amina Kigozi,1967-10-28,+256780291870
Tasha Muwonge,1972-07-06,+256721588823
Grace Muwonge,1970-06-04,+256795570296
Nalubega Ssebunya,1975-11-07,+256317024165
Rebecca Nalugo,1961-08-09,+256315492256
Hassan Mugisha,1965-06-16,+256756670331
Lilian Nakato,1983-09-24,+256782900663
Brian Nakato,1967-08-25,+256776851790
Mark Ssempijja,1972-11-09,+256729421373
Brian Achieng,1975-10-08,+256781454012
George Adoch,1998-04-30,+256742133261
Francis Namukasa,1962-08-20,+256715886244
Nalubega Atim,1993-07-29,+256314437438
Ruth Kizza,1999-01-17,+256708351001
Ssekandi Nambi,1987-12-30,+256763764611
Kato Namutebi,1975-12-11,+256770771810
Susan Ssekandi,1986-11-25,+256727378720
Grace Walusimbi,1967-11-27,+256770422000
Amina Nalubega,2004-10-14,+256763969452
Ssekandi Namutebi,2004-02-14,+256313438621
Mark Bbosa,1997-11-05,+256724353234
Susan Atim,1975-03-03,+256718240448
Samuel Byaruhanga,1971-04-28,+256725332643
